연번,행정동,주소
1,노량진1동,서울특별시 동작구 노량진로26길 16-31
2,노량진1동,서울특별시 동작구 노량진로28길 17
3,노량진1동,서울특별시 동작구 노량진로30길 30
4,노량진1동,서울특별시 동작구 노량진로32길 83
5,노량진1동,서울특별시 동작구 만양로13길 10
6,노량진1동,서울특별시 동작구 만양로10길 15
7,노량진1동,서울특별시 동작구 만양로11길 22
8,노량진1동,서울특별시 동작구 만양로11길 4-10
9,노량진1동,서울특별시 동작구 만양로11길 6
10,노량진1동,서울특별시 동작구 만양로12가길 1
11,노량진1동,서울특별시 동작구 만양로12가길 24
12,노량진1동,서울특별시 동작구 만양로12가길 56
13,노량진1동,서울특별시 동작구 만양로13가길 28
14,노량진1동,서울특별시 동작구 만양로13길 17
15,노량진1동,서울특별시 동작구 만양로13길 27
16,노량진1동,서울특별시 동작구 만양로14다길 23
17,노량진1동,서울특별시 동작구 만양로14바길 21-4
18,노량진1동,서울특별시 동작구 만양로14바길 36
19,노량진1동,서울특별시 동작구 만양로14바길 4
20,노량진1동,서울특별시 동작구 만양로14아길 7
21,노량진1동,서울특별시 동작구 만양로8길 11
22,노량진1동,서울특별시 동작구 만양로8길 33
23,노량진1동,서울특별시 동작구 만양로8길 68
24,노량진1동,서울특별시 동작구 장승배기로16길 135
25,노량진1동,서울특별시 동작구 장승배기로16길 159
26,노량진1동,서울특별시 동작구 장승배기로20다길 6-1
27,노량진1동,서울특별시 동작구 장승배기로22길 5
28,노량진1동,서울특별시 동작구 장승배기로24가길 34
29,노량진1동,서울특별시 동작구 장승배기로24길 16-1
30,노량진1동,서울특별시 동작구 장승배기로24길 3
31,노량진1동,서울특별시 동작구 장승배기로24길 61
32,노량진1동,서울특별시 동작구 장승배기로24나길 8
33,노량진1동,서울특별시 동작구 장승배기로26길 45
34,노량진1동,서울특별시 동작구 장승배기로26길 68-3
35,노량진1동,서울특별시 동작구 장승배기로28길 36 (은하맨션 다동)
36,노량진1동,서울특별시 동작구 장승배기로28길 36 (은하맨션 라동)
37,노량진1동,서울특별시 동작구 장승배기로 94 (동작도서관)
38,노량진2동,서울특별시 동작구 노량진로6길 38-1
39,노량진2동,서울특별시 동작구 노량진로6길 57-4
40,노량진2동,서울특별시 동작구 노량진로6길 63
41,노량진2동,서울특별시 동작구 노량진로6길 65
42,노량진2동,서울특별시 동작구 노량진로6길 76-6
43,노량진2동,서울특별시 동작구 노량진로6다길 32
44,노량진2동,서울특별시 동작구 노량진로6다길 39
45,노량진2동,서울특별시 동작구 노량진로6다길 8
46,노량진2동,서울특별시 동작구 노량진로8가길 17
47,노량진2동,서울특별시 동작구 노량진로8길 64
48,노량진2동,서울특별시 동작구 노량진로8나길 97
49,노량진2동,서울특별시 동작구 노량진로8나길 59
50,노량진2동,서울특별시 동작구 등용로4길 66
51,노량진2동,서울특별시 동작구 등용로4길 80
52,노량진2동,서울특별시 동작구 등용로4길 42
53,노량진2동,서울특별시 동작구 장승배기로13길 57
54,노량진2동,서울특별시 동작구 장승배기로17길 19
55,노량진2동,서울특별시 동작구 장승배기로17길 31
56,노량진2동,서울특별시 동작구 장승배기로19길 61
57,노량진2동,서울특별시 동작구 장승배기로27길 22
58,노량진2동,서울특별시 동작구 장승배기로27길 50
59,노량진2동,서울특별시 동작구 장승배기로13길 40
60,노량진2동,서울특별시 동작구 장승배기로19가길 36
61,노량진2동,서울특별시 동작구 장승배기로19길 49
62,노량진2동,서울특별시 동작구 장승배기로19나길 23
63,노량진2동,서울특별시 동작구 장승배기로19다길 13
64,노량진2동,서울특별시 동작구 장승배기로19라길 43
65,노량진2동,서울특별시 동작구 장승배기로19라길 6
66,노량진2동,서울특별시 동작구 장승배기로27길 13
67,노량진2동,서울특별시 동작구 장승배기로16길 17
68,노량진2동,서울특별시 동작구 장승배기로16길 47
69,노량진2동,서울특별시 동작구 장승배기로16길 6
70,노량진2동,서울특별시 동작구 장승배기로18나길 11
71,노량진2동,서울특별시 동작구 장승배기로20길 54
72,상도1동,서울특별시 동작구 상도로 280
73,상도1동,서울특별시 동작구 상도로38길 22
74,상도1동,서울특별시 동작구 상도로38길 43 
